title,youtube,site_page,landing,new_description
מחששות בהתחלה - למקום שמרגיש כמו בית 💼✨,https://www.youtube.com/watch?v=j-0oPAZflF8,https://weccelerate.co.il/videos/מחששות-בהתחלה-למקום-שמרגיש-כמו-בית-j-0oPAZflF8,startup,"מסע יזמי מלא בחששות טבעיים, במיוחד בשלבים הראשונים.

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/startup?utm_source=youtube&utm_medium=video&utm_campaign=startup-j-0opazflf8

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
"#1: בירה בבירה, אלון פנחס ואילה לונדנר 🎙️✨",https://www.youtube.com/watch?v=Dl25LrrW1GA,https://weccelerate.co.il/videos/1-בירה-בבירה-אלון-פנחס-ואילה-לונדנר-Dl25LrrW1GA,startup,"אנחנו גאים ונרגשים להשיק את פודקאסט הבכורה שלנו בבירה!

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/startup?utm_source=youtube&utm_medium=video&utm_campaign=startup-1-dl25lrrw1ga

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
אנחנו גאים ונרגשים להשיק את פודקאסט הבכורה החדש שלנו - ״בירה בבירה״! 🍻🎉,https://www.youtube.com/watch?v=FFMkynUdpz8,https://weccelerate.co.il/videos/אנחנו-גאים-ונרגשים-להשיק-את-פודקאסט-הבכורה-החדש-שלנו-״בירה-ב-FFMkynUdpz8,startup,"בפרק הראשון, אלון מארח את אילה לונדנר, מנהלת פיתוח עסקי ותעשייה ברשות לפיתוח ירושלים, לשיחה מרתקת בגובה העיניים על כל מה שקורה מאחורי הקלעים של עולם…

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/startup?utm_source=youtube&utm_medium=video&utm_campaign=startup-ffmkynudpz8

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
רווחי שיא ופיטורי ענק במטא? נועם חושף את האמת ⚠️,https://www.youtube.com/watch?v=K8ZEqBuF34o,https://weccelerate.co.il/videos/רווחי-שיא-ופיטורי-ענק-במטא-נועם-חושף-את-האמת-K8ZEqBuF34o,app-development,"למה ענקית טכנולוגיה שמרוויחה בענק ממשיכה לפטר עובדים?

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/app-development?utm_source=youtube&utm_medium=video&utm_campaign=app-k8zeqbuf34o

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
"מאחורי הקלעים של ענקיות הטכנולוגיה: פיטורים, AI והשפעת הרשתות החברתיות - נועם מתראיין בערוץ הכלכלה",https://www.youtube.com/watch?v=XPAanjXdKdE,https://weccelerate.co.il/videos/מאחורי-הקלעים-של-ענקיות-הטכנולוגיה-פיטורים-ai-והשפעת-הרשתות--XPAanjXdKdE,app-development,"נועם התארח בערוץ הכלכלה לשיחה מרתקת על המהלכים הדרמטיים של ענקיות הטכנולוגיה והשפעתן על השוק ועל החברה.

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/app-development?utm_source=youtube&utm_medium=video&utm_campaign=app-ai-xpaanjxdkde

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
"""אתה לא קונה טלפון, אתה קונה מותג"" 🍎",https://www.youtube.com/watch?v=-UHfEph50hY,https://weccelerate.co.il/videos/אתה-לא-קונה-טלפון-אתה-קונה-מותג--UHfEph50hY,marketing,"אלון פנחס, מנכ""ל WeCcelerate, בראיון לערוץ הכלכלה על המעטפת השיווקית של המותגים הגדולים בעולם.

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/marketing?utm_source=youtube&utm_medium=video&utm_campaign=marketing-uhfeph50hy

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
הראיון המלא עם אלון באולפן ערוץ הכלכלה. 📺,https://www.youtube.com/watch?v=cjzSwFpcIPk,https://weccelerate.co.il/videos/הראיון-המלא-עם-אלון-באולפן-ערוץ-הכלכלה-cjzSwFpcIPk,startup,"אנחנו שמחים להעלות לערוץ את הראיון המלא של אלון, מנכ""ל WeCcelerate, מתוך תוכנית הכלכלה.

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/startup?utm_source=youtube&utm_medium=video&utm_campaign=startup-cjzswfpcipk

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
פודקאסט #50  דניאל - PitchPlan,https://www.youtube.com/watch?v=A06kh8vxB3k,https://weccelerate.co.il/videos/פודקאסט-50-דניאל-pitchplan-A06kh8vxB3k,startup,"הסלון של וויסלרייט | דניאל - PitchPlan דניאל, מנכ״ל PitchPlan מגיע מעולם הבנייה והשיפוצים ושואף לשדרג את צורת העבודה העתיקה לעידן הדיגיטלי.

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/startup?utm_source=youtube&utm_medium=video&utm_campaign=startup-50-pitchplan-a06kh8vxb3k

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
"אלון פנחס, המנכ""ל שלנו, נמצא כבר חודשים ארוכים במילואים.",https://www.youtube.com/watch?v=6WmvYEXRTaU,https://weccelerate.co.il/videos/אלון-פנחס-המנכל-שלנו-נמצא-כבר-חודשים-ארוכים-במילואים-6WmvYEXRTaU,startup,"בתוך הלחימה הוא מצא רגע לעצור ולהשיא משואה לכבוד הסטארטאפים ותעשיית ההייטק הישראלית - שלא עוצרת לרגע.

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/startup?utm_source=youtube&utm_medium=video&utm_campaign=startup-6wmvyexrtau

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
חלק 3 - אופק מסכמת את החוויה שלה אצלנו,https://www.youtube.com/watch?v=Xzm1pM1eu2M,https://weccelerate.co.il/videos/חלק-3-אופק-מסכמת-את-החוויה-שלה-אצלנו-Xzm1pM1eu2M,startup,"היא משתפת על החיבור המיידי, על הביטחון שקיבלה לאורך הדרך ועל הידיעה שהיא נמצאת בידיים הנכונות.

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/startup?utm_source=youtube&utm_medium=video&utm_campaign=startup-3-xzm1pm1eu2m

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
חלק 2 - אופק מספרת על הרגע שאחרי הפגישה הראשונה אצלנו:,https://www.youtube.com/watch?v=9Ij4Fjpu9TY,https://weccelerate.co.il/videos/חלק-2-אופק-מספרת-על-הרגע-שאחרי-הפגישה-הראשונה-אצלנו-9Ij4Fjpu9TY,startup,"בגובה העיניים, עם המון מקצועיות ואנרגיות שיא להמשך הדרך.

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/startup?utm_source=youtube&utm_medium=video&utm_campaign=startup-2-9ij4fjpu9ty

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
אופק משתפת על הרגע שבו היא הבינה שהיא הגיעה למקום הנכון: בלי לחץ ועם מקסימום מקצועיות.,https://www.youtube.com/watch?v=Hd65kmZbics,https://weccelerate.co.il/videos/אופק-משתפת-על-הרגע-שבו-היא-הבינה-שהיא-הגיעה-למקום-הנכון-בלי--Hd65kmZbics,app-development,"בוויסלרייט, אנחנו יודעים שהדרך למיזם מצליח מתחילה בביטחון ובשקט נפשי.

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/app-development?utm_source=youtube&utm_medium=video&utm_campaign=app-hd65kmzbics

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
נדב גלבוע והמיזם שלו Wake Up מוכיחים שטכנולוגיה טובה מתחילה בחיבור נכון בין אנשים.,https://www.youtube.com/watch?v=JOSWi5QK3eQ,https://weccelerate.co.il/videos/נדב-גלבוע-והמיזם-שלו-wake-up-מוכיחים-שטכנולוגיה-טובה-מתחילה--JOSWi5QK3eQ,startup,"בסרטון נדב מספר על הערך המוסף של WeCcelerate - מהמקצועיות ללא פשרות ועד לתחושת הביטחון והשותפות המלאה כבר מהפגישה הראשונה.

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/startup?utm_source=youtube&utm_medium=video&utm_campaign=startup-wake-up-joswi5qk3eq

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
עתיד הניהול האקטיבי: נועם בראיון לערוץ הכלכלה,https://www.youtube.com/watch?v=JDJrRXLqkGc,https://weccelerate.co.il/videos/עתיד-הניהול-האקטיבי-נועם-בראיון-לערוץ-הכלכלה-JDJrRXLqkGc,fundraising,"איך הריבית משפיעה על אסטרטגיית ההשקעות ומה באמת מחפש המשקיע המודרני?

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/fundraising?utm_source=youtube&utm_medium=video&utm_campaign=fundraising-jdjrrxlqkgc

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
הכירו את נדב והמיזם שלו Wake Up,https://www.youtube.com/watch?v=QwXZpgiQbJo,https://weccelerate.co.il/videos/הכירו-את-נדב-והמיזם-שלו-wake-up-QwXZpgiQbJo,startup,"Wake Up - פלטפורמה דיגיטלית חכמה שיוצרת חיבורים מקצועיים ומפרקת חסמי תעסוקה עבור אנשים עם מוגבלויות.

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/startup?utm_source=youtube&utm_medium=video&utm_campaign=startup-wake-up-qwxzpgiqbjo

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
יש לכם רעיון? אל תשמרו אותו לעצמכם 🤫,https://www.youtube.com/watch?v=SXRfd7EXnd4,https://weccelerate.co.il/videos/יש-לכם-רעיון-אל-תשמרו-אותו-לעצמכם-SXRfd7EXnd4,startup,"יזמים רבים מפחדים לספר על הרעיון שלהם, אבל האמת היא שזה הצעד הראשון והחשוב ביותר בבדיקת היתכנות.

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/startup?utm_source=youtube&utm_medium=video&utm_campaign=startup-sxrfd7exnd4

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
לפעמים המוצר הכי גאוני בעולם פשוט לא מספיק כדי לסגור משקיע 💡,https://www.youtube.com/watch?v=jDnCMySAMuc,https://weccelerate.co.il/videos/לפעמים-המוצר-הכי-גאוני-בעולם-פשוט-לא-מספיק-כדי-לסגור-משקיע-jDnCMySAMuc,fundraising,"למה סטארט-אפים מעולים נתקעים בשלב הפיץ', ומהו הגורם שמשנה את כללי המשחק וגורם למשקיעים לרצות להשקיע בך?

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/fundraising?utm_source=youtube&utm_medium=video&utm_campaign=fundraising-jdncmysamuc

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
איך מוכרים מוצר שהקהל עוד לא יודע שהוא צריך?,https://www.youtube.com/watch?v=X870bM7CR2o,https://weccelerate.co.il/videos/איך-מוכרים-מוצר-שהקהל-עוד-לא-יודע-שהוא-צריך-X870bM7CR2o,startup,"אלון מסביר את החשיבות של אסטרטגיה לפני מכירה.

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/startup?utm_source=youtube&utm_medium=video&utm_campaign=startup-x870bm7cr2o

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
"סטארטאפ שרוצה לגדול באמת, נמצא במשימת גיוס תמידית. 📈",https://www.youtube.com/watch?v=ge-frFlgUgA,https://weccelerate.co.il/videos/סטארטאפ-שרוצה-לגדול-באמת-נמצא-במשימת-גיוס-תמידית-ge-frFlgUgA,fundraising,"השאלה הראשונה היא אם אתם מוכנים להפסיק להיות מוגבלים למה שאתם יודעים לעשות היום?

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/fundraising?utm_source=youtube&utm_medium=video&utm_campaign=fundraising-ge-frflguga

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
האם ה-AI יחליף את ההג'וניורים? 🤖🚀,https://www.youtube.com/watch?v=78mtd1OWSxk,https://weccelerate.co.il/videos/האם-ה-ai-יחליף-את-ההגוניורים-78mtd1OWSxk,app-development,"האם הבינה המלאכותית היא איום על הדור הבא של המהנדסים או דווקא ההזדמנות הכי גדולה שלהם?

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/app-development?utm_source=youtube&utm_medium=video&utm_campaign=app-ai-78mtd1owsxk

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
"איך משקיע פרטי בוחר את הסטארטאפ הבא? סיימון לגזיאל ב""סלון של וויסלרייט""",https://www.youtube.com/watch?v=tdum2AkDwmg,https://weccelerate.co.il/videos/איך-משקיע-פרטי-בוחר-את-הסטארטאפ-הבא-סיימון-לגזיאל-בסלון-של-ו-tdum2AkDwmg,fundraising,"בפרק #49 אלון פנחס מארח את סיימון לגזיאל, משקיע פרטי, לשיחה על מה שבאמת גורם למשקיעים להאמין במיזם.

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/fundraising?utm_source=youtube&utm_medium=video&utm_campaign=fundraising-tdum2akdwmg

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
פודקאסט #49: סיימון לגזיאל חושף: מה באמת קורה בראש של האנג'ל בזמן הפיץ'? 💰,https://www.youtube.com/watch?v=BBvzXDmrbCs,https://weccelerate.co.il/videos/פודקאסט-49-סיימון-לגזיאל-חושף-מה-באמת-קורה-בראש-של-האנגל-בזמ-BBvzXDmrbCs,fundraising,"בפרק החדש של הסלון, אלון פנחס מארח לשיחה מרתקת את סיימון לגזיאל.

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/fundraising?utm_source=youtube&utm_medium=video&utm_campaign=fundraising-49-bbvzxdmrbcs

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
"ממשיכים לחלק 2 עם דנה בירן, והפעם על הערך המוסף של WeCcelerate",https://www.youtube.com/watch?v=QErM_2HRiOc,https://weccelerate.co.il/videos/ממשיכים-לחלק-2-עם-דנה-בירן-והפעם-על-הערך-המוסף-של-weccelerat-QErM_2HRiOc,fundraising,"דנה משתפת איך המקצועיות והמידע המסודר שקיבלה, עזרו לה לגשר על פערי הידע ולהרגיש שווה בין שווים כבר מהפגישה הראשונה.

יש לכם רעיון או מיזם? שיחת היכרות חינם עם יועץ מהצוות:
https://weccelerate.co.il/lp/fundraising?utm_source=youtube&utm_medium=video&utm_campaign=fundraising-2-weccelerat-qerm-2hrioc

WeCcelerate (וויסלרייט): Venture Builder ומאיץ סטארטאפים ישראלי. ליווי מרעיון לסטארטאפ, כולל מסלול MedTech עם לאומית שירותי בריאות.
עוד מדריכים ליזמים: https://weccelerate.co.il/guides"
